요금제명,통신사,요금제유형,데이터제공량,월요금(원),활성여부
중K)61K-5G 주니어,후불)중고KT,5G,,,TRUE
중K)61K-5G 시니어 베이직,후불)중고KT,5G,,,TRUE
중K)61K-데이터 ON 비디오 플러스,후불)중고KT,5G,,,TRUE
중K)61K-Y 데이터 ON 비디오 플러스,후불)중고KT,5G,,,TRUE
중K)61K-Y 군인 77 Plus,후불)중고KT,5G,,,TRUE
중K)80K-베이직,후불)중고KT,5G,,,TRUE
중K)80K-5G Y 베이직,후불)중고KT,5G,,,TRUE
중K)80K-5G 베이직 복지,후불)중고KT,5G,,,TRUE
중K)90K-넷플릭스 초이스 베이직,후불)중고KT,5G,,,TRUE
중K)90K-현대카드 초이스 베이직,후불)중고KT,5G,,,TRUE
중K)90K-디즈니+ 초이스 베이직,후불)중고KT,5G,,,TRUE
중K)90K-삼성 초이스 베이직,후불)중고KT,5G,,,TRUE
중K)90K-우리카드 초이스 베이직,후불)중고KT,5G,,,TRUE
중K)90K-(유튜브 프리미엄) 초이스 베이직,후불)중고KT,5G,,,TRUE
중K)90K-디바이스 초이스 베이직,후불)중고KT,5G,,,TRUE
중K)90K-BC바로 카드 초이스 베이직,후불)중고KT,5G,,,TRUE
중K)90K-티빙/지니/밀리 초이스 베이직,후불)중고KT,5G,,,TRUE
중K)90K-폰케어 초이스 베이직,후불)중고KT,5G,,,TRUE
중K)90K-소상공인 초이스 베이직,후불)중고KT,5G,,,TRUE
중K)90K-데이터 ON 프리미엄,후불)중고KT,5G,,,TRUE
중K)90K-Y데이터 ON 프리미엄,후불)중고KT,5G,,,TRUE
중K)100K-스페셜,후불)중고KT,5G,,,TRUE
중K)100K-5G Y 스페셜,후불)중고KT,5G,,,TRUE
중K)110K-넷플릭스 초이스 스페셜,후불)중고KT,5G,,,TRUE
중K)110K-넷플릭스 초이스 프리미엄,후불)중고KT,5G,,,TRUE
중K)110K-현대카드 초이스 스페셜,후불)중고KT,5G,,,TRUE
중K)110K-현대카드 초이스 프리미엄,후불)중고KT,5G,,,TRUE
중K)110K-디즈니+ 초이스 프리미엄,후불)중고KT,5G,,,TRUE
중K)110K-디즈니+ 초이스 스페셜,후불)중고KT,5G,,,TRUE
중K)110K-삼성 초이스 프리미엄,후불)중고KT,5G,,,TRUE
중K)110K-삼성 초이스 스페셜,후불)중고KT,5G,,,TRUE
중K)110K-우리카드 초이스 프리미엄,후불)중고KT,5G,,,TRUE
중K)110K-우리카드 초이스 스페셜,후불)중고KT,5G,,,TRUE
중K)110K-(유튜브 프리미엄) 초이스 프리미엄,후불)중고KT,5G,,,TRUE
