접점코드,판매점명,실판매POS,통신사,담당영업과장
S텔22731,열)스마일텔레콤(여주),스마일텔레콤,후불)텔링크SK,박종열
S텔22003,구)스마일티,스마일티,후불)텔링크SK,서승구
S텔16411,열)스마트419/M,(주)스마트419,후불)텔링크SK,박종열
S텔24584,수)스마트면세점(능곡점),스마트폰면세점 능곡점,후불)텔링크SK,김성수
S텔24286,수)스마트지호(강동),스마트지호,후불)텔링크SK,김성수
S텔16418,열)스마트통신,스마트통신,후불)텔링크SK,박종열
S텔21129,수)스마트통신(석남),스마트통신,후불)텔링크SK,김성수
S텔25909,수)스마트폰면세점 매탄점,스마트폰면세점 매탄점,후불)텔링크SK,김성수
S텔24559,구)스마트폰면세점초당점(안산),스마트폰면세점 초당,후불)텔링크SK,서승구
S텔23282,구)스마트폰면세점한양대점(안산),스마트폰면세점 한양대점,후불)텔링크SK,서승구
S텔25037,열)스마트폰면세점(예산),스마트폰면세점 내포점,후불)텔링크SK,박종열
S텔24205,구)스마트폰면세점사동본점주식회사(안산),스마트폰면세점사동본점주식회사,후불)텔링크SK,서승구
S텔24217,수)스마트한폰세상(길동),스마트한폰세상,후불)텔링크SK,김성수
S텔21991,수)스마트k(공릉),스마트K,후불)텔링크SK,김성수
S텔17371,영)스카이모바일(평택),스카이모바일,후불)텔링크SK,원세영
S텔21790,웅)스카이블루(이문),스카이블루,후불)텔링크SK,정선웅
S텔26015,민)스카이정보통신(장곡),스카이정보통신,후불)텔링크SK,김민준
S텔21669,수)스타모바일(안산),스타모바일,후불)텔링크SK,김성수
S텔21995,영)스타정보,스타정보,후불)텔링크SK,원세영
S텔24193,준)스타통신(천안),스타통신,후불)텔링크SK,황병준
S텔24121,열)스피드작전점(인천),스피드작전점,후불)텔링크SK,박종열
S텔21322,수)스피드텔레콤(매탄),스피드텔레콤,후불)텔링크SK,김성수
S텔22540,영)스피드텔레콤(병점),스피드텔레콤(병점),후불)텔링크SK,원세영
S텔17374,영)스피드텔레콤(오목천점),스피드텔레콤(오목천점),후불)텔링크SK,원세영
S텔24977,준)승승장구,휴대폰할인매장11호점,후불)텔링크SK,황병준
