Column1,Column2,Column3
영)미래정보통신,영)미래정보통신,KT-VI
구)미르통신(동해),구)미르통신(동해),KT-VI
구)미르통신(부안),구)미르통신(부안),KT-VI
우)미소모바일,우)미소모바일,KT-VI
구)미소모바일(남동구),구)미소모바일(남동구),KT-VI
수)미소모바일(미사),수)미소모바일(미사),KT-VI
구)미소텔레콤(남촌동),구)미소텔레콤(남촌동),KT-VI
구)미소텔레콤(속초시),구)미소텔레콤(속초시),KT-VI
수)미소통신(삼양),수)미소통신(삼양),KT-VI
구)미소통신(상계),구)미소통신(상계),KT-VI
구)미소통신(중계),구)미소통신(중계),KT-VI
구)미소통신(회기),구)미소통신(회기),KT-VI
구)미스터모바일,구)미스터모바일,KT-VI
수)미스터모바일(상계),수)미스터모바일(상계),KT-VI
구)미스터심폰(김제),구)미스터심폰(김제),KT-VI
민)미카엘통신/M,민)미카엘통신/M,KT-VI
구)민정커뮤니케이션(구의),구)민정커뮤니케이션(구의),KT-VI
우)민주모바일,우)민주모바일,KT-VI
구)민지정보통신(안양),구)민지정보통신(안양),KT-VI
구)민텔레콤,구)민텔레콤,KT-VI
영)민텔레콤(제천),영)민텔레콤(제천),KT-VI
영)민호통신(대구),영)민호통신(대구),KT-VI
웅)믿음모바일,웅)믿음모바일,KT-VI
수)밀레니엄컴퓨터 광릉내,수)밀레니엄컴퓨터 광릉내,KT-VI
수)밀레니엄컴퓨터(송우리),수)밀레니엄컴퓨터(송우리),KT-VI
수)밀레니엄컴퓨터(향남),수)밀레니엄컴퓨터(향남),KT-VI
수)밍탕무역(용산),수)밍탕무역(용산),KT-VI
영)바나나모바일(진접),영)바나나모바일(진접),KT-VI
영)바나나모바일(호평),영)바나나모바일(호평),KT-VI
웅)바른(자양),웅)바른(자양),KT-VI
영)온누리통신,영)온누리통신,KT-VI
열)바른모바일(성남),열)바른모바일(성남),KT-VI
영)바른텔레콤(부평),영)바른텔레콤(부평),KT-VI
영)바른텔레콤(은평),영)바른텔레콤(은평),KT-VI
영)바른통신(망원),영)바른통신(망원),KT-VI
영)바른통신(음성),영)바른통신(음성),KT-VI
수)바른통신(지금),수)바른통신(지금),KT-VI
구)바울이동통신(익산),구)바울이동통신(익산),KT-VI
수)바인(월계),수)바인(월계),KT-VI
구)박강컴퍼니,구)박강컴퍼니,KT-VI
구)박군통신(고양),구)박군통신(고양),KT-VI
구)박상욱모바일,구)박상욱모바일,KT-VI
수)박카스텔레콤(왕십리),수)박카스텔레콤(왕십리),KT-VI
열)반달통신(진주),열)반달통신(진주),KT-VI
수)반히에우모바일,수)반히에우모바일,KT-VI
영)발아현미휴대폰,영)발아현미휴대폰,KT-VI
영)배가네(판교),영)배가네(판교),KT-VI
영)배가네(합정),영)배가네(합정),KT-VI
민)백곰모바일,민)백곰모바일,KT-VI
수)백마폰,수)백마폰,KT-VI
